,aTagContent,href,keys,attributes,candidateMatch,len_aTagContent,len_aTagContent_group_between 60 and 175,len_aTagContent_group_under 60,len_href,num_keys,attr_job_yn
1742,Global,https  www scotiabank com careers en careers html,href title target, Global blank,0.0,6,0,1,50,3,0
1743,Digital Factory,http  digitalfactory scotiabank com ,href title target, Digital Factory blank,0.0,15,0,1,37,3,0
1744,Students  New Grads,http  www scotiabank com careers en careers careers students and new grads html,href title target, Students  New Grads blank,0.0,20,0,1,80,3,0
1745,Facebook,https  www facebook com scotiabank ,href title target, Facebook blank,0.0,8,0,1,36,3,0
1746,Twitter,https  twitter com scotiabank,href title target, Twitter blank,0.0,7,0,1,30,3,0
1747,LinkedIn,https  www linkedin com company scotiabank,href title target, LinkedIn blank,0.0,8,0,1,43,3,0
1748,YouTube,https  www youtube com user Scotiabank,href title target, YouTube blank,0.0,7,0,1,39,3,0
1749,Instagram,https  www instagram com explore tags lifeatscotiabank ,href title target, Instagram blank,0.0,9,0,1,56,3,0
1750,Learn how our teams are helping to keep people safe informed and connected ,https  l facebook com l php u https 3A 2F 2Fabout fb com 2Fnews 2F2020 2F03 2Fcoronavirus 2F h AT2bhuHXnPVyb6yUnIGFTXYZc5ozPCaDIprMh3YQ7nA 6ZKfm1tvwkfYyadcCAnuUf78VQXAU3h2z2i4UP1ZDbqA5AmkY2Z1tMwB4b3YjTd0uX1cq wYSkwEOWMpNeesfDULYjWZGFUh3YCjpdXq5 f fBaSGG,href rel target data lynx mode, nofollow blank hover,0.0,77,1,0,256,4,0
1751,nan, careers ,href class, 80d6 97mo,0.0,0,0,1,9,2,0
1752,Jobs, careers jobs,class href, 4 2h 4zm4 ,0.0,4,0,1,13,2,0
1753,Areas of Work, ,class href role, 4 2h button,0.0,13,0,1,1,3,0
1754,Locations, careers locations,class href, 4 2h ,0.0,9,0,1,18,2,0
1755, Students  Grads , ,class href role, 4 2h button,0.0,18,0,1,1,3,0
1756, Facebook Life , ,class href role, 4 2h button,0.0,15,0,1,1,3,0
1757,Blog, careers life,class href, 4 2h ,0.0,4,0,1,13,2,0
1758,nan, ,role class href id,button 42ft 8za0 sidenav close,0.0,0,0,1,1,4,0
1759,Jobs, careers jobs,href class id, 5144 u 0 k,0.0,4,0,1,13,3,0
1760,Instagram, careers areas of work instagram divisions 5B0 5D Instagram,href class id, 5144 8yro u 0 p,0.0,9,0,1,60,3,0
1761,Oculus, careers areas of work oculus divisions 5B0 5D Oculus,href class id, 5144 8yro u 0 r,0.0,6,0,1,54,3,0
1762,Portal, careers areas of work Portal divisions 5B0 5D Portal,href class id, 5144 8yro u 0 t,0.0,6,0,1,54,3,0
1763,WhatsApp, careers areas of work whatsapp divisions 5B0 5D WhatsApp,href class id, 5144 8yro u 0 v,0.0,8,0,1,58,3,0
1764,Advertising Technology, careers areas of work adtech teams 5B0 5D Advertising Technology,href class id, 5144 8yro u 0 x,0.0,22,0,1,66,3,0
1765,AR VR, careers areas of work arvr teams 5B0 5D AR 2FVR,href class id, 5144 8yro u 0 z,0.0,5,0,1,49,3,0
1766,Business Development  Partnerships, careers areas of work sales teams 5B0 5D Business Development 26 Partnerships,href class id, 5144 8yro u 0 11,0.0,35,0,1,80,3,0
1767,Communications  Public Policy, careers areas of work communications teams 5B0 5D Communications 26 Public Policy,href class id, 5144 8yro u 0 13,0.0,30,0,1,84,3,0
1768,Creative, careers areas of work creative teams 5B0 5D Creative,href class id, 5144 8yro u 0 15,0.0,8,0,1,54,3,0
1769,Data  Analytics, careers areas of work data teams 5B0 5D Data 26 Analytics,href class id, 5144 8yro u 0 17,0.0,16,0,1,60,3,0
1770,Design  User Experience, careers areas of work design teams 5B0 5D Design 26 User Experience,href class id, 5144 8yro u 0 19,0.0,24,0,1,70,3,0
1771,Enterprise Engineering, careers areas of work ee teams 5B0 5D Enterprise Engineering,href class id, 5144 8yro u 0 1b,0.0,22,0,1,62,3,0
1772,Global Operations, ,ajaxify rel href role, careers fullscreennav links current drawer 0 is mobile 1 nav type areasOfWork drawer link 2Fcareers 2Fareas of work 2Fglobal ops 2F 3Fteams 255B0 255D 3DGlobal 2BOperations query Global Operations async button,0.0,17,0,1,1,4,0
1773,Infrastructure, ,ajaxify rel href role, careers fullscreennav links current drawer 0 is mobile 1 nav type areasOfWork drawer link 2Fcareers 2Fareas of work 2Finfrastructure 2F 3Fteams 255B0 255D 3DInfrastructure query Infrastructure async button,0.0,14,0,1,1,4,0
1774,Legal Finance Facilities  Admin, careers areas of work legal teams 5B0 5D Legal 2C Finance 2C Facilities 26 Admin,href class id, 5144 8yro u 0 1d,0.0,34,0,1,83,3,0
1775,People  Recruiting, careers areas of work people teams 5B0 5D People 26 Recruiting,href class id, 5144 8yro u 0 1f,0.0,19,0,1,65,3,0
1776,Product Management, careers areas of work product management teams 5B0 5D Product Management,href class id, 5144 8yro u 0 1h,0.0,18,0,1,74,3,0
1777,Research, careers areas of work research teams 5B0 5D Research,href class id, 5144 8yro u 0 1j,0.0,8,0,1,54,3,0
1778,Sales  Marketing, careers areas of work marketing teams 5B0 5D Sales 26 Marketing,href class id, 5144 8yro u 0 1l,0.0,17,0,1,66,3,0
1779,Security, careers areas of work security teams 5B0 5D Security,href class id, 5144 8yro u 0 1n,0.0,8,0,1,54,3,0
1780,Software Engineering, careers areas of work engineering teams 5B0 5D Software Engineering,href class id, 5144 8yro u 0 1p,0.0,20,0,1,69,3,0
1781,Technical Program Management, careers areas of work tpm teams 5B0 5D Technical Program Management,href class id, 5144 8yro u 0 1r,0.0,28,0,1,69,3,0
1782,Locations, careers locations,href class id, 5144 u 0 1s,0.0,9,0,1,18,3,0
1783,Students  Grads, careers students and grads ,href class id, 5144 8yro u 0 1x,0.0,16,0,1,28,3,0
1784,Facebook University, careers students and grads students,href class id, 5144 8yro u 0 1z,0.0,19,0,1,36,3,0
1785,Culture, careers facebook life ,href class id, 5144 8yro u 0 24,0.0,7,0,1,23,3,0
1786,Diversity, careers facebook life diversity,href class id, 5144 8yro u 0 26,0.0,9,0,1,32,3,0
1787,Veterans, careers facebook life veterans,href class id, 5144 8yro u 0 28,0.0,8,0,1,31,3,0
1788,Leadership, careers facebook life leadership,href class id, 5144 8yro u 0 2a,0.0,10,0,1,33,3,0
1789,Innovation, careers facebook life innovation,href class id, 5144 8yro u 0 2c,0.0,10,0,1,33,3,0
1790,Benefits, careers facebook life benefits,href class id, 5144 8yro u 0 2e,0.0,8,0,1,31,3,0
1791,Frequently Asked Questions, careers faq,href class id, 5144 8yro u 0 2g,0.0,26,0,1,12,3,0
1792,Remote Work, careers facebook life remote,href class id, 5144 8yro u 0 2i,0.0,11,0,1,29,3,0
1793,Blog, careers life,href class id, 5144 u 0 2j,0.0,4,0,1,13,3,0
1794,nan, ,role class href,button 42ft 2ybt ,0.0,0,0,1,1,3,0
1795,nan, careers ,href class id, 5144 2ybe 97n8 u 0 2l,0.0,0,0,1,9,3,0
1796,Students  Grads, careers students and grads ,href class id, 5144 u 0 2n,0.0,16,0,1,28,3,0
1797,Facebook University, careers students and grads students,href class id, 5144 u 0 2o,0.0,19,0,1,36,3,0
1798,Culture, careers facebook life ,href class id, 5144 u 0 2p,0.0,7,0,1,23,3,0
1799,Diversity, careers facebook life diversity,href class id, 5144 u 0 2q,0.0,9,0,1,32,3,0
1800,Veterans, careers facebook life veterans,href class id, 5144 u 0 2r,0.0,8,0,1,31,3,0
1801,Leadership, careers facebook life leadership,href class id, 5144 u 0 2s,0.0,10,0,1,33,3,0
1802,Innovation, careers facebook life innovation,href class id, 5144 u 0 2t,0.0,10,0,1,33,3,0
1803,Benefits, careers facebook life benefits,href class id, 5144 u 0 2u,0.0,8,0,1,31,3,0
1804,Frequently Asked Questions, careers faq,href class id, 5144 u 0 2v,0.0,26,0,1,12,3,0
1805,Remote Work, careers facebook life remote,href class id, 5144 u 0 2w,0.0,11,0,1,29,3,0
1806,Advertising Technology, careers areas of work adtech teams 5B0 5D Advertising Technology,href class id, 5144 u 0 2x,0.0,22,0,1,66,3,0
1807,AR VR, careers areas of work arvr teams 5B0 5D AR 2FVR,href class id, 5144 u 0 2y,0.0,5,0,1,49,3,0
1808,Business Development  Partnerships, careers areas of work sales teams 5B0 5D Business Development 26 Partnerships,href class id, 5144 u 0 2z,0.0,35,0,1,80,3,0
1809,Communications  Public Policy, careers areas of work communications teams 5B0 5D Communications 26 Public Policy,href class id, 5144 u 0 30,0.0,30,0,1,84,3,0
1810,Creative, careers areas of work creative teams 5B0 5D Creative,href class id, 5144 u 0 31,0.0,8,0,1,54,3,0
1811,Data  Analytics, careers areas of work data teams 5B0 5D Data 26 Analytics,href class id, 5144 u 0 32,0.0,16,0,1,60,3,0
1812,Design  User Experience, careers areas of work design teams 5B0 5D Design 26 User Experience,href class id, 5144 u 0 33,0.0,24,0,1,70,3,0
1813,Enterprise Engineering, careers areas of work ee teams 5B0 5D Enterprise Engineering,href class id, 5144 u 0 34,0.0,22,0,1,62,3,0
1814,Global Operations, careers areas of work global ops teams 5B0 5D Global Operations,href class id, 5144 u 0 35,0.0,17,0,1,65,3,0
1815,Infrastructure, careers areas of work infrastructure teams 5B0 5D Infrastructure,href class id, 5144 u 0 36,0.0,14,0,1,66,3,0
1816,Legal Finance Facilities  Admin, careers areas of work legal teams 5B0 5D Legal 2C Finance 2C Facilities 26 Admin,href class id, 5144 u 0 37,0.0,34,0,1,83,3,0
1817,People  Recruiting, careers areas of work people teams 5B0 5D People 26 Recruiting,href class id, 5144 u 0 38,0.0,19,0,1,65,3,0
1818,Product Management, careers areas of work product management teams 5B0 5D Product Management,href class id, 5144 u 0 39,0.0,18,0,1,74,3,0
1819,Research, careers areas of work research teams 5B0 5D Research,href class id, 5144 u 0 3a,0.0,8,0,1,54,3,0
1820,Sales  Marketing, careers areas of work marketing teams 5B0 5D Sales 26 Marketing,href class id, 5144 u 0 3b,0.0,17,0,1,66,3,0
1821,Security, careers areas of work security teams 5B0 5D Security,href class id, 5144 u 0 3c,0.0,8,0,1,54,3,0
1822,Software Engineering, careers areas of work engineering teams 5B0 5D Software Engineering,href class id, 5144 u 0 3d,0.0,20,0,1,69,3,0
1823,Technical Program Management, careers areas of work tpm teams 5B0 5D Technical Program Management,href class id, 5144 u 0 3e,0.0,28,0,1,69,3,0
1824,Instagram, careers areas of work instagram divisions 5B0 5D Instagram,href class id, 5144 u 0 3f,0.0,9,0,1,60,3,0
1825,Oculus, careers areas of work oculus divisions 5B0 5D Oculus,href class id, 5144 u 0 3g,0.0,6,0,1,54,3,0
1826,Portal, careers areas of work Portal divisions 5B0 5D Portal,href class id, 5144 u 0 3h,0.0,6,0,1,54,3,0
1827,WhatsApp, careers areas of work whatsapp divisions 5B0 5D WhatsApp,href class id, 5144 u 0 3i,0.0,8,0,1,58,3,0
1828,Functional Operations, careers areas of work functional operations sub teams 5B0 5D Functional Operations,href class id, 5144 u 0 3j,0.0,21,0,1,84,3,0
1829,Scaled Operations, careers areas of work scaled operations sub teams 5B0 5D Scaled Operations,href class id, 5144 u 0 3k,0.0,17,0,1,76,3,0
1830,Trust  Safety Operations, careers areas of work trust and safety operations sub teams 5B0 5D Trust and Safety Operations,href class id, 5144 u 0 3l,0.0,25,0,1,96,3,0
1831,Production Engineering, careers areas of work pe sub teams 5B0 5D Production Engineering,href class id, 5144 u 0 3m,0.0,22,0,1,66,3,0
1832,nan, ,tabindex href role id, 1 button u 0 4a,0.0,0,0,1,1,4,0
1833,100, ,class aria haspopup aria expanded rel href role id, p true false toggle button u 0 4c,0.0,3,0,1,1,7,0
1834,Data Center Operations Analytics EngineerLos Lunas NM 11 moreInfrastructureData Center Operations, careers jobs 234479414647261 ,href class style, 8sef text decoration none ,1.0,99,1,0,30,3,0
1835,Software Engineer Intern Co opSausalito CA 15 moreInternship  Engineering Tech  DesignEngineering, careers jobs 654496918442526 ,href class style, 8sef text decoration none ,1.0,103,1,0,30,3,0
1836,Data Center Site Development Program ManagerHenrico VA 8 moreInstagramData Center Strategy, careers jobs 1021927558296932 ,href class style, 8sef text decoration none ,1.0,92,1,0,31,3,0
1837,Software Engineer  InfrastructureSunnyvale CA 10 moreSoftware EngineeringEngineering, careers jobs 292265001797839 ,href class style, 8sef text decoration none ,1.0,87,1,0,30,3,0
1838,Software Engineer  ProductSunnyvale CA 10 moreSoftware EngineeringEngineering, careers jobs 251300712749003 ,href class style, 8sef text decoration none ,1.0,80,1,0,30,3,0
1839,Software Engineer  InfrastructureSunnyvale CA 10 moreSoftware EngineeringEngineering, careers jobs 593694497939686 ,href class style, 8sef text decoration none ,1.0,87,1,0,30,3,0
1840,Software Engineer  ProductSunnyvale CA 10 moreSoftware EngineeringEngineering, careers jobs 2560596560936665 ,href class style, 8sef text decoration none ,1.0,80,1,0,31,3,0
1841,Product DesignerRemote US Eastern Mountain  Central Regions 7 moreDesign  User ExperienceDesign, careers jobs 2248077988818693 ,href class style, 8sef text decoration none ,1.0,100,1,0,31,3,0
1842,Software Engineer Machine Learning Bellevue WA 8 moreSoftware EngineeringMachine Learning, careers jobs 299809104518220 ,href class style, 8sef text decoration none ,1.0,92,1,0,30,3,0
1843,Software Engineer Machine Learning Bellevue WA 8 moreSoftware EngineeringMachine Learning, careers jobs 583958509198914 ,href class style, 8sef text decoration none ,1.0,92,1,0,30,3,0
1844,Android Software EngineerLos Angeles CA 8 moreSoftware EngineeringEngineering, careers jobs 331815401183027 ,href class style, 8sef text decoration none ,1.0,79,1,0,30,3,0
1845,Android Software EngineerBellevue WA 8 moreSoftware EngineeringEngineering, careers jobs 1112328202471712 ,href class style, 8sef text decoration none ,1.0,76,1,0,31,3,0
1846,Software Engineer AIPittsburgh PA 6 moreSoftware EngineeringArtificial Intelligence 1 more, careers jobs 384386118912322 ,href class style, 8sef text decoration none ,1.0,93,1,0,30,3,0
1847,Enterprise EngineerSunnyvale CA 6 moreEnterprise Engineering 1 moreBusiness Development 1 more, careers jobs 2474397289516582 ,href class style, 8sef text decoration none ,1.0,96,1,0,31,3,0
1848,Employee Relations PartnerSunnyvale CA 8 morePeople  RecruitingHR, careers jobs 315201439577817 ,href class style, 8sef text decoration none ,1.0,68,1,0,30,3,0
1849,BMS Program EngineerHenrico VA 4 moreInfrastructureData Center Design Engineering  Construction, careers jobs 342982100167406 ,href class style, 8sef text decoration none ,1.0,100,1,0,30,3,0
1850,QA QC Program Geographical ManagerHenrico VA 4 moreInfrastructureData Center Design Engineering  Construction, careers jobs 2752089971721255 ,href class style, 8sef text decoration none ,1.0,114,1,0,31,3,0
1851,Technical Sourcer Specialized TechnologySunnyvale CA 7 morePeople  RecruitingRecruiting, careers jobs 230289814652586 ,href class style, 8sef text decoration none ,1.0,91,1,0,30,3,0
1852,Software Engineer Leadership  InfrastructureLos Angeles CA 7 moreSoftware EngineeringEngineering, careers jobs 779850729156122 ,href class style, 8sef text decoration none ,1.0,101,1,0,30,3,0
1853,Android UI EngineerLos Angeles CA 8 moreSoftware EngineeringEngineering, careers jobs 1343912239141803 ,href class style, 8sef text decoration none ,1.0,73,1,0,31,3,0
1854,Software Engineer Mobile iOSBellevue WA 7 moreSoftware Engineering, careers jobs 1754297998045232 ,href class style, 8sef text decoration none ,1.0,69,1,0,31,3,0
1855,Android NDK EngineerLos Angeles CA 8 moreSoftware EngineeringEngineering, careers jobs 246959479910100 ,href class style, 8sef text decoration none ,1.0,74,1,0,30,3,0
1856,Data Engineer Product AnalyticsSunnyvale CA 7 moreData  AnalyticsData Engineering, careers jobs 440197496655715 ,href class style, 8sef text decoration none ,1.0,85,1,0,30,3,0
1857,TalentX SourcerSunnyvale CA 7 morePeople  RecruitingEngineering, careers jobs 954305568314046 ,href class style, 8sef text decoration none ,1.0,66,1,0,30,3,0
1858,Instructional Design LeadLos Angeles CA 7 moreFacebookMarketing, careers jobs 259439192068027 ,href class style, 8sef text decoration none ,1.0,65,1,0,30,3,0
1859,Web Manager Facebook for BusinessLos Angeles CA 7 moreSales  MarketingMarketing, careers jobs 668617893843325 ,href class style, 8sef text decoration none ,1.0,83,1,0,30,3,0
1860,Front End Engineer Remote US Eastern Mountain  Central Regions 5 moreSoftware EngineeringEngineering, careers jobs 758189338049146 ,href class style, 8sef text decoration none ,1.0,104,1,0,30,3,0
1861,Data Scientist Product AnalyticsRemote US Eastern Mountain  Central Regions 5 moreData  AnalyticsAnalytics, careers jobs 2753879548272687 ,href class style, 8sef text decoration none ,1.0,112,1,0,31,3,0
1862,Software Engineer Machine Learning Bellevue WA 7 moreSoftware EngineeringMachine Learning, careers jobs 690677351721309 ,href class style, 8sef text decoration none ,1.0,92,1,0,30,3,0
1863,QA QC Program Geographical ManagerPapillion NE 3 moreInfrastructureData Center Design Engineering  Construction, careers jobs 790591491695740 ,href class style, 8sef text decoration none ,1.0,116,1,0,30,3,0
1864,Technical Policy  Product ManagerLos Angeles CA 6 moreLegal Finance Facilities  AdminLegal, careers jobs 404768150529165 ,href class style, 8sef text decoration none ,1.0,96,1,0,30,3,0
1865,Associate General Counsel  Competition Compliance Los Angeles CA 6 moreLegal Finance Facilities  AdminLegal, careers jobs 1462531680602958 ,href class style, 8sef text decoration none ,1.0,113,1,0,31,3,0
1866,Analytics Manager Business Marketing Research and IntelligenceLos Angeles CA 6 moreData  Analytics 1 moreAnalytics 2 more, careers jobs 681599749125594 ,href class style, 8sef text decoration none ,1.0,125,1,0,30,3,0
1867,Legal Operations Manager Spend OptimizationLos Angeles CA 6 moreLegal Finance Facilities  AdminLegal, careers jobs 3633510326691709 ,href class style, 8sef text decoration none ,1.0,106,1,0,31,3,0
1868,Business Marketing Manager Ads Ecosystem and SignalsLos Angeles CA 6 moreSales  MarketingBusiness Marketing 1 more, careers jobs 803763533789175 ,href class style, 8sef text decoration none ,1.0,118,1,0,30,3,0
1869,Interview Experience Leader Global RecruitingLos Angeles CA 6 morePeople  RecruitingProgram Management, careers jobs 671557703467547 ,href class style, 8sef text decoration none ,1.0,106,1,0,30,3,0
1870,Strategic Business Communications ManagerLos Angeles CA 6 moreSales  MarketingMarketing, careers jobs 262073431732418 ,href class style, 8sef text decoration none ,1.0,90,1,0,30,3,0
1871,Android NDK EngineerLos Angeles CA 7 moreSoftware EngineeringEngineering, careers jobs 554529645231802 ,href class style, 8sef text decoration none ,1.0,74,1,0,30,3,0
1872,Android UI EngineerLos Angeles CA 7 moreSoftware EngineeringEngineering, careers jobs 305615863771316 ,href class style, 8sef text decoration none ,1.0,73,1,0,30,3,0
1873,Associate General Counsel Privacy Los Angeles CA 6 moreLegal Finance Facilities  AdminLegal, careers jobs 348630602923262 ,href class style, 8sef text decoration none ,1.0,97,1,0,30,3,0
1874,Software Engineer  Android FrameworksRemote US Eastern Mountain  Central Regions 4 moreFacebook Reality LabsEngineering, careers jobs 652150449018138 ,href class style, 8sef text decoration none ,1.0,124,1,0,30,3,0
1875,Product Policy ManagerLos Angeles CA 6 moreCommunications  Public PolicyPublic Policy, careers jobs 406697863683519 ,href class style, 8sef text decoration none ,1.0,88,1,0,30,3,0
1876,Diversity Program Manager Recruiting Programs  OperationsSunnyvale CA 5 morePeople  RecruitingProgram Management 1 more, careers jobs 2731205990530339 ,href class style, 8sef text decoration none ,1.0,124,1,0,31,3,0
1877,Diversity Program Manager InfrastructureDenver CO 5 moreFacebook 2 moreProgram Management, careers jobs 1058689131251734 ,href class style, 8sef text decoration none ,1.0,92,1,0,31,3,0
1878,Software Engineer Computer Vision Facebook Reality Labs Sausalito CA 4 moreAR VR 2 moreArtificial Intelligence 2 more, careers jobs 387443975258592 ,href class style, 8sef text decoration none ,1.0,121,1,0,30,3,0
1879,Visiting Scientist AIPittsburgh PA 6 moreResearchArtificial Intelligence 1 more, careers jobs 408104316861173 ,href class style, 8sef text decoration none ,1.0,82,1,0,30,3,0
1880,Research Intern Artificial IntelligencePittsburgh PA 5 moreInternship  PhDArtificial Intelligence, careers jobs 1973651836107576 ,href class style, 8sef text decoration none ,1.0,101,1,0,31,3,0
1881,Referral Full Cycle Advisor Leadership RecruitingAustin TX 5 morePeople  RecruitingRecruiting, careers jobs 418866675782280 ,href class style, 8sef text decoration none ,1.0,97,1,0,30,3,0
1882,UX Researcher Instagram Well being Research Team  EquityRemote US Eastern Mountain  Central Regions 3 moreDesign  User Experience 1 moreResearch, careers jobs 713841155841273 ,href class style, 8sef text decoration none ,1.0,151,1,0,30,3,0
1883,Associate General Counsel PrivacyLos Angeles CA 5 moreLegal Finance Facilities  AdminLegal, careers jobs 352223715827513 ,href class style, 8sef text decoration none ,1.0,96,1,0,30,3,0
1884,Communications Manager Ethics  ComplianceAustin TX 5 moreCommunications  Public Policy 1 moreCorporate Communications 1 more, careers jobs 1260182557680849 ,href class style, 8sef text decoration none ,1.0,129,1,0,31,3,0
1885,Product ManagerRemote US Eastern Mountain  Central Regions 3 moreProduct ManagementEngineering, careers jobs 880129115782867 ,href class style, 8sef text decoration none ,1.0,98,1,0,30,3,0
1886,Digital Marketing Manager GamingLos Angeles CA 5 moreSales  MarketingMarketing, careers jobs 781905189232448 ,href class style, 8sef text decoration none ,1.0,82,1,0,30,3,0
1887,Digital Marketing Lead PartnershipsLos Angeles CA 5 moreSales  MarketingMarketing, careers jobs 840044750066042 ,href class style, 8sef text decoration none ,1.0,85,1,0,30,3,0
1888,Data Engineering Manager Sunnyvale CA 5 moreAdvertising Technology 7 moreData Engineering, careers jobs 1532204530320840 ,href class style, 8sef text decoration none ,1.0,91,1,0,31,3,0
1889,Diversity  Inclusion Change Manager Global Recruiting OperationsSunnyvale CA 4 morePeople  RecruitingCorporate Communications 2 more, careers jobs 662929374649021 ,href class style, 8sef text decoration none ,1.0,137,1,0,30,3,0
1890,Production EngineerBellevue WA 5 moreInfrastructureProduction Engineering, careers jobs 400293150966446 ,href class style, 8sef text decoration none ,1.0,75,1,0,30,3,0
1891,Associate General Counsel Privacy Compliance GovernanceLos Angeles CA 5 moreLegal Finance Facilities  AdminLegal, careers jobs 950338882045664 ,href class style, 8sef text decoration none ,1.0,118,1,0,30,3,0
1892,Mixed Methods UX Researcher Facebook AppMenlo Park CA 4 moreDesign  User Experience 1 moreResearch 1 more, careers jobs 506898816762421 ,href class style, 8sef text decoration none ,1.0,109,1,0,30,3,0
1893,Counsel M A Licensing  Open SourceLos Angeles CA 5 moreLegal Finance Facilities  AdminLegal, careers jobs 1615448388634045 ,href class style, 8sef text decoration none ,1.0,99,1,0,31,3,0
1894,Solutions EngineerAustin TX 5 moreSoftware EngineeringSolutions Engineering, careers jobs 294819368303968 ,href class style, 8sef text decoration none ,1.0,77,1,0,30,3,0
1895,Solutions EngineerAustin TX 5 moreSoftware EngineeringSolutions Engineering, careers jobs 617638755794558 ,href class style, 8sef text decoration none ,1.0,77,1,0,30,3,0
1896,Software Engineer Machine LearningBellevue WA 6 moreSoftware EngineeringEngineering 1 more, careers jobs 671538596959586 ,href class style, 8sef text decoration none ,1.0,93,1,0,30,3,0
1897,Network Engineer CorpRemote US Eastern Mountain  Central Regions 3 moreEnterprise Engineering 1 moreIT, careers jobs 617157795773181 ,href class style, 8sef text decoration none ,1.0,107,1,0,30,3,0
1898,Program Manager Recruiting Process  ProgramsSunnyvale CA 4 morePeople  RecruitingScaled Operations, careers jobs 712241212711885 ,href class style, 8sef text decoration none ,1.0,103,1,0,30,3,0
1899,Product Designer  AdsBellevue WA 5 moreDesign  User ExperienceDesign, careers jobs 2194926277415407 ,href class style, 8sef text decoration none ,1.0,72,1,0,31,3,0
1900,Recruiting Lead Data ScienceSunnyvale CA 4 morePeople  RecruitingRecruiting, careers jobs 631490297757388 ,href class style, 8sef text decoration none ,1.0,79,1,0,30,3,0
1901,Client Delivery Engagement ManagerAustin TX 4 moreLegal Finance Facilities  AdminLegal, careers jobs 633692453999765 ,href class style, 8sef text decoration none ,1.0,91,1,0,30,3,0
1902,Research Scientist VisionPittsburgh PA 4 moreFacebook 2 moreArtificial Intelligence 2 more, careers jobs 800082767450557 ,href class style, 8sef text decoration none ,1.0,93,1,0,30,3,0
1903,Research Scientist Systems MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 412744393025697 ,href class style, 8sef text decoration none ,1.0,97,1,0,30,3,0
1904,Research Scientist Core MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 346840579998112 ,href class style, 8sef text decoration none ,1.0,94,1,0,30,3,0
1905,Visiting Scientist AIPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 399940917685440 ,href class style, 8sef text decoration none ,1.0,89,1,0,30,3,0
1906,Software Engineer Systems MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 2 more, careers jobs 815198449250653 ,href class style, 8sef text decoration none ,1.0,96,1,0,30,3,0
1907,Software Engineer Core MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 2 more, careers jobs 828100947728549 ,href class style, 8sef text decoration none ,1.0,93,1,0,30,3,0
1908,Research Scientist Systems MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 757813635072587 ,href class style, 8sef text decoration none ,1.0,97,1,0,30,3,0
1909,Research Scientist VisionPittsburgh PA 4 moreFacebook 2 moreArtificial Intelligence 2 more, careers jobs 826766428065208 ,href class style, 8sef text decoration none ,1.0,93,1,0,30,3,0
1910,Software Engineer AIPittsburgh PA 4 moreSoftware EngineeringArtificial Intelligence, careers jobs 1044906479236351 ,href class style, 8sef text decoration none ,1.0,86,1,0,31,3,0
1911,Visiting Scientist AIPittsburgh PA 4 moreResearchArtificial Intelligence 1 more, careers jobs 543287696213503 ,href class style, 8sef text decoration none ,1.0,82,1,0,30,3,0
1912,Software Engineer Systems MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 2 more, careers jobs 684211715808268 ,href class style, 8sef text decoration none ,1.0,96,1,0,30,3,0
1913,Software Engineer LanguagePittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 1119595725104863 ,href class style, 8sef text decoration none ,1.0,94,1,0,31,3,0
1914,Research Scientist Core MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 981737685628441 ,href class style, 8sef text decoration none ,1.0,94,1,0,30,3,0
1915,Research Scientist LanguagePittsburgh PA 4 moreFacebook 2 moreArtificial Intelligence 1 more, careers jobs 500751954278204 ,href class style, 8sef text decoration none ,1.0,95,1,0,30,3,0
1916,Research Scientist LanguagePittsburgh PA 4 moreFacebook 2 moreArtificial Intelligence 1 more, careers jobs 798026594278107 ,href class style, 8sef text decoration none ,1.0,95,1,0,30,3,0
1917,Software Engineer VisionPittsburgh PA 4 moreAR VR 4 moreArtificial Intelligence 2 more, careers jobs 634194704131800 ,href class style, 8sef text decoration none ,1.0,89,1,0,30,3,0
1918,Security Engineer Malware AnalysisRemote US Eastern Mountain  Central Regions 2 moreSecurityTechnical Security, careers jobs 798840320501538 ,href class style, 8sef text decoration none ,1.0,115,1,0,30,3,0
1919,Software Engineer Core MLPittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 2 more, careers jobs 254211495918387 ,href class style, 8sef text decoration none ,1.0,93,1,0,30,3,0
1920,Software Engineer VisionPittsburgh PA 4 moreAR VR 3 moreArtificial Intelligence 2 more, careers jobs 630246367865104 ,href class style, 8sef text decoration none ,1.0,89,1,0,30,3,0
1921,Software Engineer LanguagePittsburgh PA 4 moreFacebook 1 moreArtificial Intelligence 1 more, careers jobs 1589167201255777 ,href class style, 8sef text decoration none ,1.0,94,1,0,31,3,0
1922,Production EngineerSeattle WA 3 moreInfrastructureProduction Engineering, careers jobs 618161831976423 ,href class style, 8sef text decoration none ,1.0,74,1,0,30,3,0
